date,PM25,PM10,temp,hum,pres,wind,wind_dir,CAT,CAT_24h,CAT_48h,CAT_72h
2015-08-21,149.042,187.065,4.693222025641026,77.28407692307692,975.3951648351649,1.2294355153846155,119.48408538461537,preemergencia,regular,preemergencia,preemergencia
2015-08-22,52.0737,69.8245,5.21332687051282,76.67226153846154,974.2161318681319,1.2935483923076923,134.2872683076923,regular,preemergencia,preemergencia,preemergencia
2015-08-23,114.842,136.67,5.733431715384615,76.06044615384614,973.037098901099,1.3576612692307692,149.09045123076922,preemergencia,preemergencia,preemergencia,regular
2015-08-24,119.658,150.998,6.25353656025641,75.44863076923076,971.858065934066,1.421774146153846,163.89363415384614,preemergencia,preemergencia,regular,buena
2015-08-25,127.284,153.22,6.773641405128204,74.83681538461538,970.679032967033,1.485887023076923,178.69681707692305,preemergencia,regular,buena,regular
2015-08-26,63.1845,83.2062,7.29374625,74.225,969.5,1.5499999,193.5,regular,buena,regular,regular
2015-08-29,33.4521,49.6958,3.0208333333333335,78.29166666666667,961.5833333333334,4.3166649999999995,247.79166666666666,buena,regular,regular,alerta
2015-08-30,54.37955000000001,75.1414,0.7625000000000001,45.833333333333336,972.9583333333334,3.3066666666666666,266.0,regular,regular,alerta,buena
2015-08-31,75.307,100.587,3.41666625,68.125,987.375,1.39583325,175.95833333333334,regular,alerta,buena,buena
2015-09-01,99.8253,132.553,1.899999125,68.04166666666667,986.25,1.3749998333333335,172.04166666666666,alerta,buena,buena,buena
2015-09-02,33.4778,56.8629,4.583331666666667,60.666666666666664,985.5,3.4499991666666667,224.83333333333334,buena,buena,buena,buena
2015-09-03,40.3438,60.8674,4.64999875,69.0,983.9583333333334,3.9416654166666665,257.125,buena,buena,buena,buena
2015-09-04,30.0009,51.0499,8.045832083333332,72.45833333333333,982.2083333333334,2.4166666666666665,215.33333333333334,buena,buena,buena,buena
2015-09-05,24.3154,43.8374,9.83333125,64.33333333333333,969.2916666666666,3.133332916666667,241.58333333333334,buena,buena,buena,alerta
2015-09-06,32.4546,50.622,5.708330833333334,59.5,969.5,1.7583332083333334,237.125,buena,buena,alerta,buena
2015-09-07,37.3215,59.0224,3.9249991666666664,67.54166666666667,964.875,3.5958329166666663,231.95833333333334,buena,alerta,buena,buena
