cluster_id,start_date,end_date,cluster_length,cluster_max_cat,cum_delta_lag1_to_lag6,peak_lag_1to6,peak_delta_1to6,length_bin
1,2016-04-09,2016-04-12,4,preemergencia,44.000000000000014,2,20.333333333333336,4
2,2016-04-24,2016-05-07,3,emergencia,9.999999999999986,2,12.666666666666664,3
3,2016-05-12,2016-05-13,2,preemergencia,66.00000000000001,6,40.333333333333336,2
4,2016-05-17,2016-05-27,2,preemergencia,200.00000000000003,6,53.333333333333336,2
5,2016-06-22,2016-06-23,2,emergencia,108.00000000000003,5,51.66666666666667,2
6,2016-06-30,2016-07-03,3,preemergencia,-141.00000000000003,2,-9.666666666666671,3
7,2016-07-17,2016-07-20,3,preemergencia,-104.00000000000003,5,-8.666666666666671,3
8,2016-07-24,2016-07-25,2,emergencia,28.0,6,17.0,2
9,2016-07-29,2016-08-03,3,emergencia,34.000000000000014,5,18.333333333333336,3
10,2016-08-24,2016-08-25,2,preemergencia,-77.00000000000003,4,9.333333333333329,2
11,2017-04-12,2017-04-17,5,emergencia,14.0,4,15.0,5+
12,2017-05-05,2017-05-06,2,preemergencia,14.0,2,17.0,2
13,2017-05-09,2017-05-12,3,emergencia,36.999999999999986,4,22.666666666666664,3
14,2017-05-30,2017-05-31,2,emergencia,131.0,6,41.0,2
15,2017-06-29,2017-07-05,5,emergencia,49.99999999999997,5,24.33333333333333,5+
16,2017-07-07,2017-07-08,2,preemergencia,-51.00000000000003,2,12.333333333333329,2
17,2017-07-21,2017-07-22,2,preemergencia,-35.99999999999997,2,7.666666666666671,2
18,2017-08-04,2017-08-05,2,preemergencia,147.99999999999997,4,41.33333333333333,2
19,2017-08-08,2017-08-10,3,emergencia,102.0,5,37.0,3
20,2018-05-05,2018-05-07,3,emergencia,30.00000000000003,2,23.66666666666667,3
21,2018-06-01,2018-06-05,3,emergencia,23.99999999999997,1,36.33333333333333,3
22,2018-07-05,2018-07-10,3,emergencia,4.0,1,21.0,3
23,2018-07-25,2018-07-27,2,preemergencia,-50.000000000000014,5,4.666666666666664,2
24,2018-08-08,2018-08-12,5,emergencia,197.0,4,67.0,5+
25,2019-05-28,2019-05-29,2,preemergencia,69.00000000000003,4,40.66666666666667,2
26,2019-06-03,2019-06-04,2,preemergencia,88.99999999999997,6,44.33333333333333,2
27,2019-06-27,2019-06-28,2,preemergencia,-78.99999999999997,6,2.6666666666666714,2
28,2019-07-03,2019-07-04,2,emergencia,-46.0,1,5.0,2
29,2019-07-06,2019-07-13,3,emergencia,-178.99999999999994,2,-18.33333333333333,3
30,2020-05-19,2020-05-21,3,preemergencia,22.000000000000004,2,6.666666666666667,3
31,2020-06-14,2020-06-17,3,emergencia,-18.0,4,-1.0,3
32,2020-07-02,2020-07-05,4,preemergencia,9.000000000000004,2,7.666666666666667,4
33,2021-05-16,2021-05-21,4,preemergencia,8.0,2,11.0,4
34,2021-06-20,2021-06-23,4,emergencia,-6.0,1,3.0,4
35,2022-05-15,2022-05-20,2,emergencia,116.99999999999997,5,37.666666666666664,2
36,2022-05-29,2022-06-03,3,emergencia,106.0,4,29.0,3
37,2022-06-13,2022-06-14,2,emergencia,-53.0,1,4.0,2
38,2023-04-10,2023-04-11,2,preemergencia,42.999999999999986,6,21.666666666666664,2
39,2023-05-22,2023-05-23,2,preemergencia,6.000000000000028,6,51.66666666666667,2
40,2023-06-18,2023-06-21,2,emergencia,-132.00000000000003,5,-1.6666666666666714,2
41,2023-06-24,2023-06-25,2,preemergencia,-85.00000000000003,1,15.333333333333329,2
42,2023-06-27,2023-07-01,5,emergencia,-133.00000000000003,1,-8.666666666666671,5+
43,2023-07-19,2023-07-20,2,emergencia,-38.0,4,-3.0,2
44,2023-07-24,2023-07-28,3,preemergencia,-7.0,2,8.0,3
45,2024-04-11,2024-04-13,3,emergencia,84.00000000000003,2,33.333333333333336,3
46,2024-05-12,2024-05-18,4,emergencia,-43.0,4,8.0,4
47,2024-05-23,2024-05-28,3,preemergencia,-183.00000000000006,6,-12.666666666666671,3
48,2024-05-30,2024-05-31,2,preemergencia,-97.00000000000003,3,-0.6666666666666714,2
49,2024-06-05,2024-06-12,4,preemergencia,-71.0,3,-6.0,4
50,2024-07-08,2024-07-09,2,preemergencia,-23.000000000000014,2,4.666666666666664,2
51,2025-04-04,2025-04-05,2,preemergencia,-33.99999999999997,2,16.66666666666667,2
52,2025-06-06,2025-06-08,2,emergencia,67.0,6,33.0,2
53,2025-08-13,2025-08-14,2,emergencia,124.0,4,37.0,2
