term,IRR,CI95_L,CI95_U,p,outcome
Intercept,208.3110265409774,177.55781372544362,244.39073036602502,0.0,TOTAL_URG
C(CAT)[T.regular],1.0246884789594652,0.9082776126256715,1.1560193318834928,0.6918254974011009,TOTAL_URG
C(CAT)[T.alerta],1.022243791334499,0.8683027545721238,1.2034769709291893,0.791635908673587,TOTAL_URG
C(CAT)[T.preemergencia],1.0607679833096604,0.8904102200181694,1.2637194510097638,0.5089576898907446,TOTAL_URG
C(CAT)[T.emergencia],1.1058880687373478,0.821276854997971,1.4891305083456203,0.507338431604957,TOTAL_URG
C(dow)[T.1],0.952631562447749,0.8384745899673397,1.08233082389174,0.4561933512121942,TOTAL_URG
C(dow)[T.2],0.9196363666599798,0.8093340943181146,1.0449714806542527,0.19873816383680942,TOTAL_URG
C(dow)[T.3],0.880921373184173,0.7748552961409573,1.0015063065291603,0.052749143280675315,TOTAL_URG
C(dow)[T.4],0.8255416869003427,0.7262297483760107,0.938434535812215,0.003371991677862121,TOTAL_URG
C(dow)[T.5],0.740092291275056,0.6511615524602034,0.8411685203699709,4.064415677901674e-06,TOTAL_URG
C(dow)[T.6],0.7430458731281502,0.6536217350732572,0.8447044214508783,5.636919423657199e-06,TOTAL_URG
C(month)[T.2],0.9139041641757656,0.7655454500935531,1.091014023002471,0.31917847866783466,TOTAL_URG
C(month)[T.3],1.10220217053744,0.9306117616725426,1.3054311956621467,0.25971802901087415,TOTAL_URG
C(month)[T.4],1.0975998796565087,0.9219009322438703,1.306784117128213,0.2954139696010891,TOTAL_URG
C(month)[T.5],1.19101552652089,0.990183387311883,1.4325810780008925,0.06355866763756486,TOTAL_URG
C(month)[T.6],1.1444692654833866,0.9395651710038815,1.3940596565926464,0.18003858525922545,TOTAL_URG
C(month)[T.7],0.9276867794289825,0.7650661908621894,1.124873600488689,0.44526928243704444,TOTAL_URG
C(month)[T.8],1.1427608707842392,0.9547696976743625,1.3677669190554356,0.14560588401701594,TOTAL_URG
C(month)[T.9],1.228850519920649,1.0361062786878317,1.457450486857072,0.017911591640260516,TOTAL_URG
C(month)[T.10],1.3156890250459568,1.1111153683090527,1.5579278803971133,0.0014628890018121496,TOTAL_URG
C(month)[T.11],1.2658063138877595,1.0704387818222685,1.4968306936249918,0.005855135479093697,TOTAL_URG
C(month)[T.12],1.1261603419909696,0.9516088153558241,1.332729473926742,0.1667507408315455,TOTAL_URG
t,1.0000343868530193,0.9999982633967341,1.0000705116142108,0.06207791469310958,TOTAL_URG
Intercept,30.914603228454187,26.296133758654477,36.34422845366801,0.0,RESP_TOTAL
C(CAT)[T.regular],1.0692029987229554,0.946981335719184,1.2071991383124376,0.27996792177024754,RESP_TOTAL
C(CAT)[T.alerta],1.0932210711436998,0.927630939164511,1.2883704714172186,0.2875306478961739,RESP_TOTAL
C(CAT)[T.preemergencia],1.1505045668135983,0.964673333927483,1.3721336660876837,0.11880197824472948,RESP_TOTAL
C(CAT)[T.emergencia],1.2290874951831146,0.9111462896174666,1.6579731356308685,0.17680329865200184,RESP_TOTAL
C(dow)[T.1],0.9695004539865609,0.852497464089354,1.102561790355812,0.6369027650704494,RESP_TOTAL
C(dow)[T.2],0.9343116974410264,0.8214444900927524,1.062686959987479,0.30096554879052206,RESP_TOTAL
C(dow)[T.3],0.8401212931537556,0.7381871713599685,0.95613120167075,0.008297723764204736,RESP_TOTAL
C(dow)[T.4],0.7765481534000406,0.6823801998883835,0.8837112135546279,0.00012591485955858013,RESP_TOTAL
C(dow)[T.5],0.7450984430276688,0.6548335078788063,0.8478058668693004,7.97552556552568e-06,RESP_TOTAL
C(dow)[T.6],0.7737416172879495,0.679883841877466,0.8805564325078783,0.00010112536258825916,RESP_TOTAL
C(month)[T.2],0.7259906882563743,0.6059854039554701,0.8697610140354048,0.000513511140666839,RESP_TOTAL
C(month)[T.3],1.6929109100541448,1.4261890961289319,2.0095142763041167,1.7611079070808584e-09,RESP_TOTAL
C(month)[T.4],1.7577740509232194,1.473162302901813,2.097372168710021,3.8824748441583176e-10,RESP_TOTAL
C(month)[T.5],2.397523052778775,1.9892742034821542,2.8895547826155807,4.2540732308535497e-20,RESP_TOTAL
C(month)[T.6],2.3506945032488655,1.9259563949429859,2.869101638081485,4.244802105873828e-17,RESP_TOTAL
C(month)[T.7],1.5206201329462734,1.251166690653003,1.8481035388775613,2.5346037793328045e-05,RESP_TOTAL
C(month)[T.8],2.1549503722577152,1.7967628964208247,2.584543078079027,1.2518265190378079e-16,RESP_TOTAL
C(month)[T.9],2.5268794499365126,2.126375923962748,3.002817931935592,6.3859636001511e-26,RESP_TOTAL
C(month)[T.10],2.9574198244538628,2.492879790547176,3.508525381463715,1.6450630551777253e-35,RESP_TOTAL
C(month)[T.11],2.4347968453681754,2.05492198733619,2.8848957355795455,8.488749315140628e-25,RESP_TOTAL
C(month)[T.12],1.7437051511423078,1.470201827694801,2.0680886099071003,1.6877300568668432e-10,RESP_TOTAL
t,0.9999833437209075,0.9999469103608734,1.000019778408402,0.37024470124871545,RESP_TOTAL
