term,IRR,CI95_L,CI95_U,p,outcome
Intercept,0.14664555779763086,0.124717156338102,0.172429521753042,2.249960845316044e-119,RESP_TOTAL_rate_offset_TOTAL_URG
C(CAT)[T.regular],1.0658445701834347,0.9437971012829814,1.2036746523646007,0.3040840040981546,RESP_TOTAL_rate_offset_TOTAL_URG
C(CAT)[T.alerta],1.0869887421688014,0.9220592788749178,1.2814192673636071,0.32047921462409934,RESP_TOTAL_rate_offset_TOTAL_URG
C(CAT)[T.preemergencia],1.1118392105590222,0.9316205207983003,1.3269205674830227,0.24000940572358853,RESP_TOTAL_rate_offset_TOTAL_URG
C(CAT)[T.emergencia],1.197147505392432,0.8872813072399366,1.6152286067261539,0.23902681086697997,RESP_TOTAL_rate_offset_TOTAL_URG
C(dow)[T.1],1.0174811579031249,0.8944453395064955,1.157441221907519,0.7921286986070597,RESP_TOTAL_rate_offset_TOTAL_URG
C(dow)[T.2],1.0171651118208507,0.8940538288815921,1.1572288281565524,0.7959686611292979,RESP_TOTAL_rate_offset_TOTAL_URG
C(dow)[T.3],0.9583563746848107,0.8418518367755605,1.0909840672401754,0.5200974042709812,RESP_TOTAL_rate_offset_TOTAL_URG
C(dow)[T.4],0.9401147039786798,0.8257706795594697,1.070291884313956,0.3506666831636628,RESP_TOTAL_rate_offset_TOTAL_URG
C(dow)[T.5],1.0079470150348873,0.8856505401792506,1.1471309947060107,0.904529163808269,RESP_TOTAL_rate_offset_TOTAL_URG
C(dow)[T.6],1.0358026379897902,0.909967081070409,1.1790394698724198,0.5945205564821963,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.2],0.7951540869410364,0.6632171710988277,0.9533378349228792,0.013279683949045993,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.3],1.4735667624350146,1.2409472819701985,1.7497914979158296,9.752072435930994e-06,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.4],1.5244453116953358,1.2771531730769554,1.8196200403675935,3.0282442718680176e-06,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.5],1.8363001586284513,1.5230353337330542,2.2139987155215226,1.911414736467689e-10,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.6],1.8632882240364914,1.5261269204446946,2.2749372672237578,9.914983078664988e-10,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.7],1.5004040867191248,1.2341145846143697,1.824151866859996,4.698676116354689e-05,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.8],1.7494681720747531,1.4583286563345215,2.098730537734498,1.7168099506993191e-09,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.9],1.9433584964061419,1.635027576203545,2.309833974985988,4.775525128009725e-14,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.10],2.0968052797554373,1.7668563314275625,2.4883700519430314,2.3324343868167715e-17,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.11],1.8225693232398064,1.5379445822936728,2.1598690721747418,4.253088395303196e-12,RESP_TOTAL_rate_offset_TOTAL_URG
C(month)[T.12],1.5182776131046005,1.2799385121551399,1.8009981640236765,1.6449419489687556e-06,RESP_TOTAL_rate_offset_TOTAL_URG
t,0.9999440945583693,0.9999076077426983,0.9999805827054512,0.0026738822555449028,RESP_TOTAL_rate_offset_TOTAL_URG
