horizon,horizon_role,name,strategy,condition_mode,threshold_mode,min_precision,threshold,pr_auc,roc_auc,precision,recall,f1,cv_roc_auc_mean,cv_pr_auc_mean,tn,fp,fn,tp,n_train,n_test,pos_train,pos_test
24,operational,LogisticRegression,class_weight=balanced,all,max_recall_min_precision,0.3,0.6103815768182336,0.41883836282686654,0.9466775211152946,0.3037974683544304,0.7741935483870968,0.43636363636363634,0.9168243719764801,0.46251590007052606,579,55,7,24,2657,665,178,31
24,operational,RidgeClassifier,calibrated+balanced,all,max_recall_min_precision,0.3,0.14492124742310467,0.40173713817843315,0.9426071028798209,0.34328358208955223,0.7419354838709677,0.46938775510204084,0.9160298055055419,0.4545986952261238,590,44,8,23,2657,665,178,31
24,operational,LinearSVC,calibrated+balanced,all,max_recall_min_precision,0.3,0.12335644296164106,0.4223556659156437,0.9466266408873512,0.3382352941176471,0.7419354838709677,0.46464646464646464,0.9171742094169775,0.461320634961226,589,45,8,23,2657,665,178,31
24,operational,RandomForest,class_weight=balanced_subsample,all,max_recall_min_precision,0.3,0.22870277255167157,0.3358494605491054,0.9137071334079577,0.3673469387755102,0.5806451612903226,0.45,0.8978792939541174,0.38248416507509864,603,31,13,18,2657,665,178,31
24,operational,ExtraTrees,class_weight=balanced,all,max_recall_min_precision,0.3,0.3621656812850717,0.36978591583824166,0.9303958481733998,0.3114754098360656,0.6129032258064516,0.41304347826086957,0.9074742077926441,0.3993518844473125,592,42,12,19,2657,665,178,31
24,operational,HistGradientBoosting,default,all,max_recall_min_precision,0.3,0.0352096733791829,0.26995713743549143,0.8882161392083037,0.21311475409836064,0.41935483870967744,0.2826086956521739,0.8874578918133222,0.32926760442299163,586,48,18,13,2657,665,178,31
24,operational,GradientBoosting,default,all,max_recall_min_precision,0.3,0.13999106347379114,0.36972232150100387,0.9358145924493741,0.2978723404255319,0.45161290322580644,0.358974358974359,0.9072986523284344,0.4248858064257708,601,33,17,14,2657,665,178,31
24,operational,AdaBoost,default,all,max_recall_min_precision,0.3,0.4901415184537542,0.3661942875030541,0.9270377531291341,0.35294117647058826,0.5806451612903226,0.43902439024390244,0.8731090814810217,0.3992771125000074,601,33,13,18,2657,665,178,31
24,operational,GaussianNB,default,all,max_recall_min_precision,0.3,0.6272690421029857,0.4061584618125313,0.9319731352396459,0.3188405797101449,0.7096774193548387,0.44,0.9008995506401332,0.43884371672865174,587,47,9,22,2657,665,178,31
24,operational,XGBoost,scale_pos_weight=13.93,all,max_recall_min_precision,0.3,0.11610433742403986,0.31845109804890237,0.8958481733998168,0.26865671641791045,0.5806451612903226,0.3673469387755102,0.883400369459336,0.3562531812106739,585,49,13,18,2657,665,178,31
24,operational,LightGBM,scale_pos_weight=13.93,all,max_recall_min_precision,0.3,0.05429682004570935,0.23379229610524122,0.8379464740002035,0.2222222222222222,0.45161290322580644,0.2978723404255319,0.8823532310898466,0.3072483829515219,585,49,17,14,2657,665,178,31
24,operational,CatBoost,"class_weights=[1.0,13.9]",all,max_recall_min_precision,0.3,0.2122964263068617,0.3020409033776366,0.8806349852447339,0.23636363636363636,0.41935483870967744,0.3023255813953488,0.883679183267245,0.3228337723536542,592,42,18,13,2657,665,178,31
48,operational,LogisticRegression,class_weight=balanced,all,max_recall_min_precision,0.3,0.9173075579421366,0.21511223465017087,0.8842983616566602,0.2857142857142857,0.12903225806451613,0.17777777777777778,0.8545624328009538,0.25469264085207094,624,10,27,4,2657,665,178,31
48,operational,RidgeClassifier,calibrated+balanced,all,max_recall_min_precision,0.3,0.15335359355469275,0.21644464845408068,0.8863844510023404,0.25862068965517243,0.4838709677419355,0.33707865168539325,0.8557636096322409,0.2545854300427592,591,43,16,15,2657,665,178,31
48,operational,LinearSVC,calibrated+balanced,all,max_recall_min_precision,0.3,0.15426957632615426,0.21474606123598497,0.8850615650758116,0.26785714285714285,0.4838709677419355,0.3448275862068966,0.8543175550357164,0.2531179888593179,593,41,16,15,2657,665,178,31
48,operational,RandomForest,class_weight=balanced_subsample,all,max_recall_min_precision,0.3,0.4782560502630921,0.1610691372028563,0.853464943522947,0.14285714285714285,0.03225806451612903,0.05263157894736842,0.8340637056532326,0.24166334050046157,628,6,30,1,2657,665,178,31
48,operational,ExtraTrees,class_weight=balanced,all,max_recall_min_precision,0.3,0.4797098737630142,0.16546038645869815,0.8609443370306299,0.16666666666666666,0.1935483870967742,0.1791044776119403,0.8574219527991728,0.26610373662274345,604,30,25,6,2657,665,178,31
48,operational,HistGradientBoosting,default,all,max_recall_min_precision,0.3,0.010955637882374402,0.12308672313036703,0.8011091889691665,0.13761467889908258,0.4838709677419355,0.21428571428571427,0.834246946017176,0.20816192755967927,540,94,16,15,2657,665,178,31
48,operational,GradientBoosting,default,all,max_recall_min_precision,0.3,0.5694144559316177,0.23310521399490905,0.8748600793731556,1.0,0.03225806451612903,0.0625,0.8442492862583805,0.2647812631763207,634,0,30,1,2657,665,178,31
48,operational,AdaBoost,default,all,max_recall_min_precision,0.3,0.5043418055241421,0.22920323884405058,0.866134120280859,0.0,0.0,0.0,0.8285271332359734,0.24093412226083927,634,0,31,0,2657,665,178,31
48,operational,GaussianNB,default,all,max_recall_min_precision,0.3,0.9438110908185374,0.21476734530807257,0.8772260099725246,0.1875,0.0967741935483871,0.1276595744680851,0.8513453546359244,0.2516737370685458,621,13,28,3,2657,665,178,31
48,operational,XGBoost,scale_pos_weight=13.93,all,max_recall_min_precision,0.3,0.8396020364761363,0.14481329872428594,0.8353007021471456,0.14285714285714285,0.03225806451612903,0.05263157894736842,0.8301215354641516,0.2268784415768413,628,6,30,1,2657,665,178,31
48,operational,LightGBM,scale_pos_weight=13.93,all,max_recall_min_precision,0.3,0.03822117725658316,0.12255066695047355,0.7841151928360639,0.13095238095238096,0.3548387096774194,0.19130434782608696,0.8171648807495678,0.22659619325458863,561,73,20,11,2657,665,178,31
48,operational,CatBoost,"class_weights=[1.0,13.9]",all,max_recall_min_precision,0.3,0.9334668075140713,0.13495821073550246,0.8048234456090364,0.0,0.0,0.0,0.8191259213832272,0.22148863460666646,632,2,31,0,2657,665,178,31
72,exploratory,LogisticRegression,class_weight=balanced,all,max_recall_min_precision,0.3,0.960583188609142,0.21417446302035306,0.8544825480818155,0.3333333333333333,0.03225806451612903,0.058823529411764705,0.8394018985244894,0.22563192339405638,632,2,30,1,2657,665,177,31
72,exploratory,RidgeClassifier,calibrated+balanced,all,max_recall_min_precision,0.3,0.15087584688187866,0.21688590381906736,0.8558563142362878,0.24242424242424243,0.5161290322580645,0.32989690721649484,0.840953788720076,0.22808553543749968,584,50,15,16,2657,665,177,31
72,exploratory,LinearSVC,calibrated+balanced,all,max_recall_min_precision,0.3,0.15168586358066824,0.2117981166045129,0.8548387096774194,0.208955223880597,0.45161290322580644,0.2857142857142857,0.8404813145200565,0.2254494904651278,581,53,17,14,2657,665,177,31
